timestamp,open,high,low,close,volume
2026-03-25 03:07:00+00:00,70576.14,70576.14,70576.14,70576.14,0.0
2026-03-25 03:08:00+00:00,70506.28,70506.29,70506.28,70506.29,0.00142
2026-03-25 03:09:00+00:00,70515.64,70515.64,70515.64,70515.64,0.00024
2026-03-25 03:10:00+00:00,70515.64,70515.64,70515.64,70515.64,0.0
2026-03-25 03:11:00+00:00,70530.56,70530.56,70520.67,70520.67,0.00021
2026-03-25 03:12:00+00:00,70507.33,70507.33,70428.09,70428.09,0.00544
2026-03-25 03:13:00+00:00,70416.68,70482.03,70416.68,70482.03,0.00435
2026-03-25 03:14:00+00:00,70538.61,70545.16,70538.61,70545.16,0.00031
2026-03-25 03:15:00+00:00,70488.11,70488.11,70488.11,70488.11,0.00071
2026-03-25 03:16:00+00:00,70458.61,70458.61,70458.61,70458.61,0.00187
2026-03-25 03:17:00+00:00,70458.61,70458.61,70458.61,70458.61,0.0
2026-03-25 03:18:00+00:00,70458.61,70458.61,70458.61,70458.61,0.0
2026-03-25 03:19:00+00:00,70458.61,70458.61,70458.61,70458.61,0.0
2026-03-25 03:20:00+00:00,70507.22,70507.22,70507.22,70507.22,0.00014
2026-03-25 03:21:00+00:00,70453.89,70453.89,70453.89,70453.89,0.00746
2026-03-25 03:22:00+00:00,70453.89,70453.89,70453.89,70453.89,0.0
2026-03-25 03:23:00+00:00,70453.89,70453.89,70453.89,70453.89,0.0
2026-03-25 03:24:00+00:00,70453.89,70453.89,70453.89,70453.89,0.0
2026-03-25 03:25:00+00:00,70453.89,70453.89,70453.89,70453.89,0.0
2026-03-25 03:26:00+00:00,70453.89,70453.89,70453.89,70453.89,0.0
2026-03-25 03:27:00+00:00,70453.89,70453.89,70453.89,70453.89,0.0
2026-03-25 03:28:00+00:00,70453.89,70453.89,70453.89,70453.89,0.0
2026-03-25 03:29:00+00:00,70453.89,70453.89,70453.89,70453.89,0.0
2026-03-25 03:30:00+00:00,70555.92,70555.92,70555.92,70555.92,0.01021
2026-03-25 03:31:00+00:00,70555.92,70555.92,70555.92,70555.92,0.0
2026-03-25 03:32:00+00:00,70555.92,70555.92,70555.92,70555.92,0.0
2026-03-25 03:33:00+00:00,70555.92,70555.92,70555.92,70555.92,0.0
2026-03-25 03:34:00+00:00,70555.92,70555.92,70555.92,70555.92,0.0
2026-03-25 03:35:00+00:00,70724.38,70724.38,70724.38,70724.38,0.00069
2026-03-25 03:36:00+00:00,70734.84,70734.84,70734.84,70734.84,0.00018
2026-03-25 03:37:00+00:00,70784.83,70784.83,70784.83,70784.83,0.00916
2026-03-25 03:38:00+00:00,70784.83,70784.83,70784.83,70784.83,0.0
2026-03-25 03:39:00+00:00,70765.56,70765.56,70765.56,70765.56,0.0073
2026-03-25 03:40:00+00:00,70765.56,70765.56,70765.56,70765.56,0.0
2026-03-25 03:41:00+00:00,70765.56,70765.56,70765.56,70765.56,0.0
2026-03-25 03:42:00+00:00,70772.77,70772.77,70772.77,70772.77,3e-05
2026-03-25 03:43:00+00:00,70772.77,70772.77,70772.77,70772.77,0.0
2026-03-25 03:44:00+00:00,70772.77,70772.77,70772.77,70772.77,0.0
2026-03-25 03:45:00+00:00,70772.77,70772.77,70772.77,70772.77,0.0
2026-03-25 03:46:00+00:00,70792.85,70792.85,70772.45,70772.45,0.00506
2026-03-25 03:47:00+00:00,70752.27,70777.39,70752.27,70777.39,0.00433
2026-03-25 03:48:00+00:00,70804.72,70804.72,70804.72,70804.72,0.01494
2026-03-25 03:49:00+00:00,70752.89,70752.89,70752.89,70752.89,0.00043
2026-03-25 03:50:00+00:00,70752.89,70752.89,70752.89,70752.89,0.0
2026-03-25 03:51:00+00:00,70752.89,70752.89,70752.89,70752.89,0.0
2026-03-25 03:52:00+00:00,70752.89,70752.89,70752.89,70752.89,0.0
2026-03-25 03:53:00+00:00,70752.89,70752.89,70752.89,70752.89,0.0
2026-03-25 03:54:00+00:00,70752.89,70752.89,70752.89,70752.89,0.0
2026-03-25 03:55:00+00:00,70733.05,70733.05,70733.05,70733.05,0.00077
2026-03-25 03:56:00+00:00,70733.05,70733.05,70733.05,70733.05,0.0
2026-03-25 03:57:00+00:00,70733.05,70733.05,70733.05,70733.05,0.0
2026-03-25 03:58:00+00:00,70783.23,70784.55,70783.23,70784.55,0.01446
2026-03-25 03:59:00+00:00,70784.55,70784.55,70784.55,70784.55,0.0
2026-03-25 04:00:00+00:00,70784.55,70784.55,70784.55,70784.55,0.0
2026-03-25 04:01:00+00:00,70784.55,70784.55,70784.55,70784.55,0.0
2026-03-25 04:02:00+00:00,70784.55,70784.55,70784.55,70784.55,0.0
2026-03-25 04:03:00+00:00,70727.29,70727.29,70689.0,70689.0,0.00032
2026-03-25 04:04:00+00:00,70741.38,70741.38,70741.38,70741.38,3e-05
2026-03-25 04:05:00+00:00,70741.38,70741.38,70741.38,70741.38,0.0
