timestamp,open,high,low,close,volume,log_price,log_return,rolling_vol,abs_return,jump_flag
2026-06-05 18:52:00+00:00,59611.78,59623.84,59293.39,59293.39,0.44841,10.99025311165654,-0.004635793125061127,0.001374176196486104,0.004635793125061127,0
2026-06-05 18:53:00+00:00,59293.18,59381.47,59260.0,59277.57,0.65014,10.989986267226943,-0.0002668444295963468,0.0013472676926885667,0.0002668444295963468,0
2026-06-05 18:54:00+00:00,59271.3,59296.27,59177.84,59177.84,0.18189,10.988302426470934,-0.001683840756008692,0.0013556320445098303,0.001683840756008692,0
2026-06-05 18:55:00+00:00,59270.74,59346.23,59154.72,59346.23,0.03211,10.99114387653751,0.002841450066576101,0.0014160836644880686,0.002841450066576101,0
2026-06-05 18:56:00+00:00,59366.0,59596.1,59366.0,59588.72,0.40844,10.995221573396211,0.004077696858701074,0.0015285348224224557,0.004077696858701074,0
2026-06-05 18:57:00+00:00,59501.13,59501.13,59501.13,59501.13,0.00504,10.993750582950021,-0.0014709904461902568,0.0015218435267801665,0.0014709904461902568,0
2026-06-05 18:58:00+00:00,59521.23,59560.76,59467.54,59467.54,0.20147,10.993185896450752,-0.0005646864992687739,0.0015212772747595932,0.0005646864992687739,0
2026-06-05 18:59:00+00:00,59427.66,59427.66,59427.66,59427.66,0.0151,10.992515053532019,-0.0006708429187334275,0.0015217160390838117,0.0006708429187334275,0
2026-06-05 19:00:00+00:00,59200.0,59310.52,59200.0,59310.52,0.023,10.990541972287172,-0.0019730812448468527,0.0015153704131050706,0.0019730812448468527,0
2026-06-05 19:01:00+00:00,59281.17,59339.56,59200.0,59339.56,0.05404,10.99103147892012,0.000489506632947112,0.001519082728567568,0.000489506632947112,0
2026-06-05 19:02:00+00:00,59436.64,59501.38,59436.64,59501.38,0.0066,10.993754784542071,0.002723305621952221,0.0015704156442124682,0.002723305621952221,0
2026-06-05 19:03:00+00:00,59527.17,59576.86,59526.35,59546.29,0.00208,10.994509272254943,0.0007544877128715655,0.0015731402281662313,0.0007544877128715655,0
2026-06-05 19:04:00+00:00,59576.89,59576.89,59354.72,59413.97,0.00845,10.992284662884222,-0.002224609370720998,0.0015912215465958765,0.002224609370720998,0
2026-06-05 19:05:00+00:00,59325.18,59461.64,59325.18,59461.64,0.00416,10.993086677739164,0.0008020148549423567,0.0015927683147844876,0.0008020148549423567,0
2026-06-05 19:06:00+00:00,59492.94,59492.94,59353.18,59353.18,0.00756,10.991260979057362,-0.001825698681802379,0.0016024718211142537,0.001825698681802379,0
2026-06-05 19:07:00+00:00,59356.11,59363.06,59324.52,59363.06,0.00835,10.991427426377843,0.00016644732048121114,0.0015950415510724055,0.00016644732048121114,0
2026-06-05 19:08:00+00:00,59294.4,59311.35,59294.4,59311.35,0.00694,10.99055596633397,-0.0008714600438732845,0.00159517086899156,0.0008714600438732845,0
